SampleID_old,StationCode,New_Lat,New_Long,COMID,E,OE,pMMI,CSCI,SampleID_old.1
000CAT148_8.10.10_1,000CAT148,39.0752298,-119.89944,8942501,16.05804168,0.930997708,1.044958005,0.987977857,000CAT148_8.10.10_1
000CAT228_8.10.10_1,000CAT228,39.0730718,-119.92005,8942503,16.08960429,0.972677744,0.989623198,0.981150471,000CAT228_8.10.10_1
102PS0139_8.9.10_1,102PS0139,41.9959481,-122.9597,23936337,15.46438713,1.089600245,1.053538586,1.071569416,102PS0139_8.9.10_1
103CDCHHR_9.14.10_1,103CDCHHR,41.7888953,-124.07784,22226836,21.10443355,1.0898184,1.083465327,1.086641864,103CDCHHR_9.14.10_1
103FC1106_7.15.14_1,103FC1106,41.93406515,-124.1081494,22226634,16.83756568,1.077946797,0.916373099,0.997159948,103FC1106_7.15.14_1
103FCA168_7.24.13_1,103FCA168,41.6496191,-124.09118,22226990,19.07408076,1.093106413,1.033517935,1.063312174,103FCA168_7.24.13_1
103KLCMSR_9.14.10_1,103KLCMSR,41.8554564,-123.85215,22227592,20.86953603,1.018230591,1.146907267,1.082568929,103KLCMSR_9.14.10_1
103PS0217_9.10.13_1,103PS0217,41.68690641,-124.0834599,22226948,20.24370951,1.121335988,0.892450076,1.006893032,103PS0217_9.10.13_1
103RDCBCC_7.21.11_1,103RDCBCC,41.9548095,-124.0625,22226612,17.79659209,1.014239126,1.000099576,1.007169351,103RDCBCC_7.21.11_1
103WER026_8.15.12_1,103WER026,41.8499865,-124.03322,22226750,22.74618586,1.061716463,1.016234725,1.038975594,103WER026_8.15.12_1
103WER029_7.16.14_1,103WER029,41.809766,-124.11209,22226788,24.02083891,0.939808976,1.041967866,0.990888421,103WER029_7.16.14_1
103WER030_8.10.11_1,103WER030,41.8564882,-123.91194,22227610,22.71339957,0.880537497,0.797107343,0.83882242,103WER030_8.10.11_1
105BVCAGC_9.21.10_1,105BVCAGC,41.6120215,-123.29225,4439580,18.50421307,1.321320713,1.128015747,1.22466823,105BVCAGC_9.21.10_1
105CE0329_7.23.14_1,105CE0329,41.3081753,-123.03392,8257849,18.90248975,0.96107269,1.170840137,1.065956413,105CE0329_7.23.14_1
105CLCATC_8.10.10_1,105CLCATC,41.7344726,-123.54826,4439224,16.33821535,1.17515895,0.832516826,1.003837888,105CLCATC_8.10.10_1
105CR0901_8.11.14_1,105CR0901,41.3180889,-123.52799,4442592,14.47253806,0.424942742,0.443730373,0.434336558,105CR0901_8.11.14_1
105CR0913_8.12.14_1,105CR0913,41.8428251,-122.89869,362143,12.01036064,0.653602355,0.467588239,0.560595297,105CR0913_8.12.14_1
105DLCDCC_10.20.09_1,105DLCDCC,41.5728015,-123.54469,4439728,12.77913028,1.016501102,0.963200028,0.989850564,105DLCDCC_10.20.09_1
105FC1116_8.5.14_1,105FC1116,41.91258293,-120.9212504,2557043,10.90076927,0.710958998,0.822931951,0.766945475,105FC1116_8.5.14_1
105FC1120_7.30.14_1,105FC1120,41.55364143,-121.9246852,8265420,15.65068581,1.047877403,0.889073314,0.968475358,105FC1120_7.30.14_1
105FC1297_7.22.14_1,105FC1297,41.32860037,-123.4199184,8257759,18.37110414,1.143099502,1.07563605,1.109367776,105FC1297_7.22.14_1
105FCA116_7.16.13_1,105FCA116,41.3178155,-123.04812,8257773,16.18697301,1.128994284,1.033882322,1.081438303,105FCA116_7.16.13_1
105FS0416_9.24.13_1,105FS0416,41.614111,-123.28187,4439616,17.78155307,1.214742037,1.031095159,1.122918598,105FS0416_9.24.13_1
105FS0425_8.10.11_1,105FS0425,41.3582685,-123.07451,8257711,15.25991902,1.212326223,1.070352946,1.141339585,105FS0425_8.10.11_1
105FS0428_8.3.11_1,105FS0428,41.4410528,-123.35829,8257421,17.63170076,0.992530456,1.032661613,1.012596034,105FS0428_8.3.11_1
105NWC151_6.26.13_1,105NWC151,41.91713452,-120.8810529,2557039,9.372836912,0.928214166,0.896894029,0.912554098,105NWC151_6.26.13_1
105PS0028_8.26.08_1,105PS0028,41.7509508,-122.00312,948010238,11.81952776,0.723379155,0.58305548,0.653217317,105PS0028_8.26.08_1
105PS0043_9.17.08_1,105PS0043,41.7293919,-123.23671,360453,18.89190349,1.188339757,1.010647149,1.099493453,105PS0043_9.17.08_1
105PS0067_9.15.09_1,105PS0067,41.139249,-123.13937,8258279,16.68635024,1.269500701,1.001523721,1.135512211,105PS0067_9.15.09_1
105PS0069_8.18.09_1,105PS0069,41.2982463,-123.94255,4441596,18.01808073,1.148846001,0.843477876,0.996161939,105PS0069_8.18.09_1
105PS0083_9.8.09_1,105PS0083,41.364694,-123.18717,8257681,14.83452462,1.34820633,0.986060283,1.167133306,105PS0083_9.8.09_1
105PS0090_8.7.12_1,105PS0090,41.0800405,-123.02912,8258405,13.22232534,1.157133833,1.009549134,1.083341484,105PS0090_8.7.12_1
105PS0092_8.11.08_1,105PS0092,41.5768499,-121.9255,8265412,13.53314682,1.130557453,1.095868733,1.113213093,105PS0092_8.11.08_1
105PS0097_7.22.14_1,105PS0097,41.7415719,-123.35549,4439186,17.24988008,1.058944559,1.002218236,1.030581398,105PS0097_7.22.14_1
105PS0107_9.14.09_1,105PS0107,41.7137526,-123.01732,3798105,11.91130183,1.028435025,0.721134217,0.874784621,105PS0107_9.14.09_1
105PS0129_8.11.10_1,105PS0129,41.9237684,-123.46483,4438708,17.7878711,1.038629069,1.117202605,1.077915837,105PS0129_8.11.10_1
105PS0149_8.29.12_1,105PS0149,41.240996,-123.65543,4441788,14.59593169,1.120175152,0.781068866,0.950622009,105PS0149_8.29.12_1
105PS0154_8.9.11_1,105PS0154,41.0981249,-123.0734,8258357,13.38436004,1.102032519,1.045414542,1.07372353,105PS0154_8.9.11_1
105PS0188_8.26.08_1,105PS0188,41.7185053,-122.34972,3917226,10.59999837,0.646226515,0.610127048,0.628176781,105PS0188_8.26.08_1
105PS0193_8.29.12_1,105PS0193,41.8294124,-123.38486,4438928,16.9262889,1.113652266,0.852108256,0.982880261,105PS0193_8.29.12_1
105PS0195_8.7.12_1,105PS0195,41.1888599,-123.07484,8258155,13.1430117,1.126073714,1.257864337,1.191969025,105PS0195_8.7.12_1
105PS0211_9.16.13_1,105PS0211,41.42695936,-122.9216991,3800947,12.56996688,1.17343189,1.118607431,1.14601966,105PS0211_9.16.13_1
105PS0231_8.29.13_1,105PS0231,41.60811142,-122.456988,3917406,11.90044532,0.663840704,0.647696692,0.655768698,105PS0231_8.29.13_1
105PS0259_9.17.13_1,105PS0259,41.1406891,-123.1727316,8258269,16.71926811,1.112488889,1.146153896,1.129321393,105PS0259_9.17.13_1
105PS0267_7.21.14_1,105PS0267,41.88067552,-123.1299006,360287,14.40906972,1.093061544,1.031811613,1.062436579,105PS0267_7.21.14_1
105PS0276_9.22.09_1,105PS0276,41.9900047,-120.81078,2556977,13.52244009,0.541692176,0.608854417,0.575273297,105PS0276_9.22.09_1
105PS0468_9.1.09_1,105PS0468,41.8941492,-121.02359,2556363,10.87356537,0.98403786,0.847197806,0.915617833,105PS0468_9.1.09_1
105PS0540_9.15.10_1,105PS0540,41.6200195,-122.06924,8264738,17.74236647,0.975067223,1.133020157,1.05404369,105PS0540_9.15.10_1
105PS0660_8.3.10_1,105PS0660,41.9156453,-120.88859,2557039,9.370294979,0.803069703,0.886972666,0.845021185,105PS0660_8.3.10_1
105PS1148_9.18.12_1,105PS1148,41.8659071,-122.4641,361981,11.18798471,0.500536973,0.382162263,0.441349618,105PS1148_9.18.12_1
105PS1404_8.28.13_1,105PS1404,41.92436523,-122.3888787,361695,11.85907674,1.199503158,0.917704803,1.058603981,105PS1404_8.28.13_1
105PS1492_8.6.14_1,105PS1492,41.86225988,-120.9951605,2557113,11.95992619,0.418062781,0.28136761,0.349715195,105PS1492_8.6.14_1
105TMCACC_8.10.10_1,105TMCACC,41.7369287,-123.54872,4439208,17.54417753,0.980382236,0.974383082,0.977382659,105TMCACC_8.10.10_1
105WE0598_7.24.14_1,105WE0598,41.2443927,-123.32933,8258763,15.94437081,1.129970375,0.957192512,1.043581444,105WE0598_7.24.14_1
105WLC135_6.26.13_1,105WLC135,41.89911096,-121.0443755,2556363,10.87616465,0.735553411,0.792671406,0.764112408,105WLC135_6.26.13_1
105WLCABC_8.3.11_1,105WLCABC,41.4422517,-123.35041,8257397,17.04596157,1.117566757,1.059033409,1.088300083,105WLCABC_8.3.11_1
106FC1183_7.24.14_1,106FC1183,40.63704093,-122.7464956,8246442,15.61163428,0.877550662,1.069154757,0.97335271,106FC1183_7.24.14_1
106FC1313_7.23.14_1,106FC1313,40.87031945,-122.800388,8245598,13.32001247,1.126125072,0.964290225,1.045207649,106FC1313_7.23.14_1
106FCA036_7.15.13_1,106FCA036,40.8012662,-122.92964,8245698,16.5102574,0.950924,0.962177118,0.956550559,106FCA036_7.15.13_1
106FS0040_8.30.11_1,106FS0040,40.1691243,-123.02515,8235250,20.61709673,1.127704851,1.201232248,1.16446855,106FS0040_8.30.11_1
106HLCACC_9.23.13_1,106HLCACC,41.0170233,-123.59492,8241296,15.18638458,1.257705538,0.926116892,1.091911215,106HLCACC_9.23.13_1
106MNCAHC_10.1.08_1,106MNCAHC,40.6380533,-123.322,8232424,21.04175454,1.032470936,1.100709801,1.066590369,106MNCAHC_10.1.08_1
106PS0022_9.30.08_1,106PS0022,40.6725933,-123.52155,8232312,17.24808756,1.217526287,1.048874033,1.13320016,106PS0022_9.30.08_1
106PS0051_9.16.08_1,106PS0051,41.2473451,-122.6416,8242694,13.70047368,1.164193324,0.821374912,0.992784119,106PS0051_9.16.08_1
106PS0078_8.26.09_1,106PS0078,40.5543134,-123.13761,8232714,15.56077989,0.449848918,0.280226894,0.365037906,106PS0078_8.26.09_1
106PS0106_9.8.09_1,106PS0106,40.8118785,-123.11906,8244186,16.92918252,1.222740672,1.09262268,1.157681676,106PS0106_9.8.09_1
106PS0115_9.21.10_1,106PS0115,41.1729013,-122.86959,8242116,17.93758611,1.098252567,0.868620355,0.983436461,106PS0115_9.21.10_1
106PS0122_9.20.10_1,106PS0122,41.1122723,-122.86482,8242294,13.61124235,0.995500605,1.013266377,1.004383491,106PS0122_9.20.10_1
106PS0124_8.16.10_1,106PS0124,40.1705465,-123.02867,8235234,20.57137867,1.20555848,1.055214952,1.130386716,106PS0124_8.16.10_1
106PS0142_7.19.10_1,106PS0142,40.458489,-123.16704,8234706,15.84569132,1.262172763,0.78966177,1.025917267,106PS0142_7.19.10_1
106PS0166_8.2.11_1,106PS0166,41.0441162,-123.6117,8241184,18.55573729,1.080528339,1.069353022,1.074940681,106PS0166_8.2.11_1
106PS0173_8.4.11_1,106PS0173,40.3778176,-123.29927,8234928,16.25084108,1.227628767,0.9995213,1.113575034,106PS0173_8.4.11_1
106PS0186_9.26.12_1,106PS0186,40.3062027,-123.12127,8235108,16.141356,1.170905344,1.228194817,1.199550081,106PS0186_9.26.12_1
106PTCAHC_9.2.08_1,106PTCAHC,40.4951813,-123.03531,8234604,19.2903179,1.17157219,0.998547832,1.085060011,106PTCAHC_9.2.08_1
106WE0505_7.21.14_1,106WE0505,40.8623465,-122.90302,8245608,18.55294208,1.060167745,0.963478386,1.011823065,106WE0505_7.21.14_1
106WE1079_8.8.12_1,106WE1079,41.1348577,-122.80509,8242250,18.97248909,1.069091843,1.049988434,1.059540139,106WE1079_8.8.12_1
106WER011_9.11.13_1,106WER011,40.9358845,-123.15486,8243440,18.67875014,1.189408633,1.069257619,1.129333126,106WER011_9.11.13_1
106WER016_10.20.09_1,106WER016,40.4896507,-123.02946,8234604,20.60470839,1.043797488,0.977583171,1.01069033,106WER016_10.20.09_1
107GWCAPC_9.15.10_1,107GWCAPC,41.3679359,-124.02424,8315561,18.99752429,0.971179177,1.120753675,1.045966426,107GWCAPC_9.15.10_1
107LLM101_9.13.10_1,107LLM101,41.3269745,-124.02387,8315609,21.02361727,0.879962747,0.975511796,0.927737271,107LLM101_9.13.10_1
107PS0021_7.14.14_1,107PS0021,41.3241209,-124.00796,8315591,20.45184212,1.085476793,1.042983474,1.064230133,107PS0021_7.14.14_1
107RWCBHW_8.3.11_1,107RWCBHW,41.1966306,-123.99642,8316099,15.43451917,1.057694109,0.831095657,0.944394883,107RWCBHW_8.3.11_1
107WER092_8.27.12_1,107WER092,41.3999561,-124.0579,8315549,22.72905825,0.824201915,0.904649414,0.864425665,107WER092_8.27.12_1
108PS0197_8.16.12_1,108PS0197,41.1758895,-124.08516,8315639,22.76692563,0.773051236,0.971075774,0.872063505,108PS0197_8.16.12_1
109PS0162_7.20.11_1,109PS0162,40.9052103,-124.04158,8316819,14.02737347,0.898243711,0.742917336,0.820580524,109PS0162_7.20.11_1
110ECSLSF_7.26.11_1,110ECSLSF,40.6732014,-124.09629,8317131,20.09074761,0.975573452,0.781965264,0.878769358,110ECSLSF_7.26.11_1
110FCA102_7.25.13_1,110FCA102,40.7252711,-124.11628,8317019,17.8165696,0.736673799,0.68175016,0.709211979,110FCA102_7.25.13_1
110PS0114_7.21.10_1,110PS0114,40.68793,-124.05051,8317105,18.87208813,1.006777833,0.935721654,0.971249744,110PS0114_7.21.10_1
110SMCATH_7.27.11_1,110SMCATH,40.6386718,-124.10349,8317181,22.88903547,1.039799167,1.065816823,1.052807995,110SMCATH_7.27.11_1
111BBRBCC_9.23.09_1,111BBRBCC,39.6995084,-122.92445,8297465,17.1254487,1.024790667,1.025610934,1.025200801,111BBRBCC_9.23.09_1
111BGCAER_6.11.14_1,111BGCAER,40.0223251,-123.06148,8292877,19.15932719,1.010821856,0.945767361,0.978294609,111BGCAER_6.11.14_1
111CBCAER_8.8.13_1,111CBCAER,39.5290482,-122.84833,8305428,12.88694745,0.841937165,0.780172652,0.811054909,111CBCAER_8.8.13_1
111CE0569_10.11.10_1,111CE0569,40.3467571,-123.99247,8284792,22.73955449,0.968796465,0.972121617,0.970459041,111CE0569_10.11.10_1
111ERATRC_10.10.12_1,111ERATRC,39.5522234,-122.86134,8305354,17.22611639,0.954945365,0.910123508,0.932534436,111ERATRC_10.10.12_1
111FC1098_6.10.14_1,111FC1098,39.7573889,-123.7248396,8287522,20.1790557,0.971304123,1.034605383,1.002954753,111FC1098_6.10.14_1
111FCA207_7.23.13_1,111FCA207,40.1071607,-123.79689,8285292,19.99291582,0.771523281,0.619028203,0.695275742,111FCA207_7.23.13_1
111FS0001_7.5.11_1,111FS0001,39.3270926,-122.83111,8308998,13.89803436,1.014531957,1.225483957,1.120007957,111FS0001_7.5.11_1
111FS0007_7.11.11_1,111FS0007,39.4712271,-122.83378,8308196,19.36898112,1.063556202,1.092355814,1.077956008,111FS0007_7.11.11_1
111FS0008_7.19.12_1,111FS0008,39.3192973,-122.8454,8309034,13.16058429,1.103674402,1.102942956,1.103308679,111FS0008_7.19.12_1
111HSCAER_7.26.11_1,111HSCAER,39.5250339,-122.85276,8305452,7.141493171,1.120213912,0.92569185,1.022952881,111HSCAER_7.26.11_1
111PAL105_7.13.11_1,111PAL105,40.3497286,-123.96396,8284780,21.44915915,1.025681233,1.036831813,1.031256523,111PAL105_7.13.11_1
111PS0008_9.29.08_1,111PS0008,39.5216399,-123.3977,8303686,16.83154397,0.404003341,0.417846711,0.410925026,111PS0008_9.29.08_1
