SampleID_old,StationCode,New_Lat,New_Long,COMID,E,OE,pMMI,CSCI,SampleID_old.1
402SNPMCR_7.29.14_1,402SNPMCR,34.50488408,-119.3775053,17585800,12.84224462,1.189433814,0.82942266,1.009428237,402SNPMCR_7.29.14_1
403BA0015_5.19.08_1,403BA0015,34.5317307,-119.18367,17568137,7.047990106,1.042850499,0.965711736,1.004281117,403BA0015_5.19.08_1
403BA0047_5.15.08_1,403BA0047,34.2705938,-119.1531,17573691,7.684608645,0.383884221,0.191922228,0.287903224,403BA0047_5.15.08_1
403BA0064_6.18.14_1,403BA0064,34.644256,-118.514219,17572253,7.907516288,0.929495398,0.698291322,0.81389336,403BA0064_6.18.14_1
403BA0068_5.14.08_1,403BA0068,34.3934669,-118.90237,17574729,11.84108026,0.578494516,0.744634181,0.661564349,403BA0068_5.14.08_1
403BA0136_6.17.14_1,403BA0136,34.5114202,-118.45102,17570387,9.536582568,0.901790546,0.960763734,0.93127714,403BA0136_6.17.14_1
403BA0140_5.21.08_1,403BA0140,34.3464977,-118.56399,17574991,6.946476422,0.806164113,0.514636435,0.660400274,403BA0140_5.21.08_1
403BA0171_5.19.08_1,403BA0171,34.5857856,-119.28339,17567767,8.035912721,1.007975109,1.061902242,1.034938675,403BA0171_5.19.08_1
403FCA022_5.29.13_1,403FCA022,34.3558321,-119.02335,17573659,7.872140313,0.895563306,0.732478554,0.81402093,403FCA022_5.29.13_1
403LNCASC_6.15.10_1,403LNCASC,34.5390101,-119.16119,17568111,6.516220371,1.197012924,0.953273735,1.07514333,403LNCASC_6.15.10_1
403M01505_6.29.15_1,403M01505,34.41709,-118.92546,17574589,8.415947943,0.706991065,0.62082166,0.663906363,403M01505_6.29.15_1
403M01506_6.17.15_1,403M01506,34.39739,-118.79347,17575737,7.878383849,0.920239498,0.600791211,0.760515355,403M01506_6.17.15_1
403M05757_6.29.15_1,403M05757,34.54518,-118.43467,17570253,7.761552952,1.14667774,0.96846712,1.05757243,403M05757_6.29.15_1
403M05758_6.29.15_1,403M05758,34.43484,-118.61254,17574585,7.749393263,0.961365587,0.664880131,0.813122859,403M05758_6.29.15_1
403M05771_4.30.15_1,403M05771,34.69939,-118.79476,17572225,7.737729819,1.046818665,0.780205942,0.913512304,403M05771_4.30.15_1
403PRCAGH_6.2.11_1,403PRCAGH,34.6947465,-118.92046,17569207,7.694488473,0.87075314,1.104858336,0.987805738,403PRCAGH_6.2.11_1
403S00640_6.11.09_1,403S00640,34.6006768,-118.55867,17569783,8.254148201,0.784454052,0.961401379,0.872927715,403S00640_6.11.09_1
