SampleID_old,StationCode,COMID,E,OE,pMMI,CSCI,SampleID_old.1
105PS1404_8.28.13_1,105PS1404,361695,11.85907674,1.199503158,0.917704803,1.058603981,105PS1404_8.28.13_1
105PS1492_8.6.14_1,105PS1492,2557113,11.95992619,0.418062781,0.28136761,0.349715195,105PS1492_8.6.14_1
105TMCACC_8.10.10_1,105TMCACC,4439208,17.54417753,0.980382236,0.974383082,0.977382659,105TMCACC_8.10.10_1
105WE0598_7.24.14_1,105WE0598,8258763,15.94437081,1.129970375,0.957192512,1.043581444,105WE0598_7.24.14_1
105WLC135_6.26.13_1,105WLC135,2556363,10.87616465,0.735553411,0.792671406,0.764112408,105WLC135_6.26.13_1
105WLCABC_8.3.11_1,105WLCABC,8257397,17.04596157,1.117566757,1.059033409,1.088300083,105WLCABC_8.3.11_1
106FC1183_7.24.14_1,106FC1183,8246442,15.61163428,0.877550662,1.069154757,0.97335271,106FC1183_7.24.14_1
106FC1313_7.23.14_1,106FC1313,8245598,13.32001247,1.126125072,0.964290225,1.045207649,106FC1313_7.23.14_1
106FCA036_7.15.13_1,106FCA036,8245698,16.5102574,0.950924,0.962177118,0.956550559,106FCA036_7.15.13_1
106FS0040_8.30.11_1,106FS0040,8235250,20.61709673,1.127704851,1.201232248,1.16446855,106FS0040_8.30.11_1
106HLCACC_9.23.13_1,106HLCACC,8241296,15.18638458,1.257705538,0.926116892,1.091911215,106HLCACC_9.23.13_1
106MNCAHC_10.1.08_1,106MNCAHC,8232424,21.04175454,1.032470936,1.100709801,1.066590369,106MNCAHC_10.1.08_1
106PS0022_9.30.08_1,106PS0022,8232312,17.24808756,1.217526287,1.048874033,1.13320016,106PS0022_9.30.08_1
106PS0051_9.16.08_1,106PS0051,8242694,13.70047368,1.164193324,0.821374912,0.992784119,106PS0051_9.16.08_1
106PS0078_8.26.09_1,106PS0078,8232714,15.56077989,0.449848918,0.280226894,0.365037906,106PS0078_8.26.09_1
106PS0106_9.8.09_1,106PS0106,8244186,16.92918252,1.222740672,1.09262268,1.157681676,106PS0106_9.8.09_1
106PS0115_9.21.10_1,106PS0115,8242116,17.93758611,1.098252567,0.868620355,0.983436461,106PS0115_9.21.10_1
106PS0122_9.20.10_1,106PS0122,8242294,13.61124235,0.995500605,1.013266377,1.004383491,106PS0122_9.20.10_1
106PS0124_8.16.10_1,106PS0124,8235234,20.57137867,1.20555848,1.055214952,1.130386716,106PS0124_8.16.10_1
106PS0142_7.19.10_1,106PS0142,8234706,15.84569132,1.262172763,0.78966177,1.025917267,106PS0142_7.19.10_1
106PS0166_8.2.11_1,106PS0166,8241184,18.55573729,1.080528339,1.069353022,1.074940681,106PS0166_8.2.11_1
106PS0173_8.4.11_1,106PS0173,8234928,16.25084108,1.227628767,0.9995213,1.113575034,106PS0173_8.4.11_1
106PS0186_9.26.12_1,106PS0186,8235108,16.141356,1.170905344,1.228194817,1.199550081,106PS0186_9.26.12_1
106PTCAHC_9.2.08_1,106PTCAHC,8234604,19.2903179,1.17157219,0.998547832,1.085060011,106PTCAHC_9.2.08_1
106WE0505_7.21.14_1,106WE0505,8245608,18.55294208,1.060167745,0.963478386,1.011823065,106WE0505_7.21.14_1
106WE1079_8.8.12_1,106WE1079,8242250,18.97248909,1.069091843,1.049988434,1.059540139,106WE1079_8.8.12_1
106WER011_9.11.13_1,106WER011,8243440,18.678750139999998,1.189408633,1.069257619,1.129333126,106WER011_9.11.13_1
106WER016_10.20.09_1,106WER016,8234604,20.60470839,1.043797488,0.977583171,1.01069033,106WER016_10.20.09_1
107GWCAPC_9.15.10_1,107GWCAPC,8315561,18.99752429,0.971179177,1.120753675,1.045966426,107GWCAPC_9.15.10_1
107LLM101_9.13.10_1,107LLM101,8315609,21.02361727,0.879962747,0.975511796,0.927737271,107LLM101_9.13.10_1
107PS0021_7.14.14_1,107PS0021,8315591,20.45184212,1.085476793,1.042983474,1.064230133,107PS0021_7.14.14_1
107RWCBHW_8.3.11_1,107RWCBHW,8316099,15.43451917,1.057694109,0.831095657,0.944394883,107RWCBHW_8.3.11_1
107WER092_8.27.12_1,107WER092,8315549,22.72905825,0.824201915,0.904649414,0.864425665,107WER092_8.27.12_1
108PS0197_8.16.12_1,108PS0197,8315639,22.76692563,0.773051236,0.971075774,0.872063505,108PS0197_8.16.12_1
109PS0162_7.20.11_1,109PS0162,8316819,14.02737347,0.898243711,0.742917336,0.820580524,109PS0162_7.20.11_1
110ECSLSF_7.26.11_1,110ECSLSF,8317131,20.09074761,0.975573452,0.781965264,0.878769358,110ECSLSF_7.26.11_1
110FCA102_7.25.13_1,110FCA102,8317019,17.8165696,0.736673799,0.68175016,0.709211979,110FCA102_7.25.13_1
110PS0114_7.21.10_1,110PS0114,8317105,18.87208813,1.006777833,0.935721654,0.971249744,110PS0114_7.21.10_1
110SMCATH_7.27.11_1,110SMCATH,8317181,22.88903547,1.039799167,1.065816823,1.052807995,110SMCATH_7.27.11_1
111BBRBCC_9.23.09_1,111BBRBCC,8297465,17.1254487,1.024790667,1.025610934,1.025200801,111BBRBCC_9.23.09_1
111BGCAER_6.11.14_1,111BGCAER,8292877,19.15932719,1.010821856,0.945767361,0.978294609,111BGCAER_6.11.14_1
111CBCAER_8.8.13_1,111CBCAER,8305428,12.88694745,0.841937165,0.780172652,0.811054909,111CBCAER_8.8.13_1
111CE0569_10.11.10_1,111CE0569,8284792,22.73955449,0.968796465,0.972121617,0.970459041,111CE0569_10.11.10_1
111ERATRC_10.10.12_1,111ERATRC,8305354,17.22611639,0.954945365,0.910123508,0.932534436,111ERATRC_10.10.12_1
111FC1098_6.10.14_1,111FC1098,8287522,20.1790557,0.971304123,1.034605383,1.002954753,111FC1098_6.10.14_1
111FCA207_7.23.13_1,111FCA207,8285292,19.99291582,0.771523281,0.619028203,0.695275742,111FCA207_7.23.13_1
111FS0001_7.5.11_1,111FS0001,8308998,13.89803436,1.014531957,1.225483957,1.120007957,111FS0001_7.5.11_1
111FS0007_7.11.11_1,111FS0007,8308196,19.36898112,1.063556202,1.092355814,1.077956008,111FS0007_7.11.11_1
111FS0008_7.19.12_1,111FS0008,8309034,13.16058429,1.103674402,1.102942956,1.103308679,111FS0008_7.19.12_1
