StationID,New_Lat,New_Long
SMC02127,34.4227975,-119.26449
SMC02139,34.6716022,-119.0172
SMC02145,33.2693444,-117.03147
SMC02167,34.1045001,-117.15946
SMC02206,33.8709893,-117.85003
SMC02208,34.12693386,-117.7745917
SMC02228,34.0689012,-118.22422
SMC02232,34.23225105,-118.551065
SMC02270,33.7957032,-117.77237
SMC02302,33.81526128,-118.0412627
SMC02366,33.84684,-118.14043
SMC02417,33.1338537,-117.06236
SMC02436,34.261878,-118.97228
SMC02452,34.2733012,-118.89985
SMC02457,33.2557748,-117.25005
SMC02484,34.1451,-118.36764
SMC02494,33.9132,-117.97397
SMC02536,34.2686145,-118.6736
SMC02563,33.6819351,-117.67299
SMC02568,34.2786712,-118.22029
SMC02573,34.0134459,-117.17764
SMC02591,34.5178405,-119.37847
SMC02622,33.8972134,-118.18619
SMC02644,34.1815757,-118.88652
SMC02656,34.0747152,-117.87267
SMC02680,34.1953164,-118.59146
SMC02712,34.3617882,-118.30349
SMC02718,33.88936,-117.88771
SMC02804,34.1453408,-118.40866
SMC02884,34.217656,-118.98516
SMC02902,32.9490746,-117.06443
SMC02905,33.2409019,-117.3287074
SMC02933,33.3195689,-117.16562
SMC02936,34.18656639,-118.640822
SMC02972,34.2495807,-118.0755
SMC02976,34.2578936,-117.75662
SMC02984,34.2652841,-118.75052
SMC02988,34.16076712,-117.9889704
SMC02996,34.22105711,-118.4229118
SMC03011,33.61449445,-117.6954876
SMC03110,32.8110566,-117.07336
SMC03133,34.0016699,-117.5996
SMC03216,34.2809211,-117.84094
SMC03222,33.0221034,-117.06726
SMC03268,34.1610653,-119.0654
SMC03280,34.2568564,-117.85653
SMC03304,34.288298,-118.72312
SMC03401,33.45042413,-117.3116849
SMC03438,33.9370556,-117.79254
SMC03452,34.3035424,-117.83231
SMC03510,32.5636372,-116.78734
SMC03523,33.58472708,-117.6642715
SMC03687,34.0829581,-117.58255
SMC03737,33.1196879,-117.0926
SMC03929,33.1787043,-117.30481
SMC03984,34.24613,-117.90187
SMC03988,34.2132269,-118.89766
SMC04000,34.2328252,-117.74778
SMC04008,34.2834758,-118.80806
SMC04047,34.4577525,-119.29185
SMC04054,32.8369445,-117.01854
SMC04121,33.1846546,-117.19835
SMC04132,34.2147317,-118.8842
SMC04134,32.828743,-117.05243
SMC04175,34.4081619,-119.27685
SMC04204,34.203604,-118.01854
