id,site_type,ASCI
111BGCAER_6.11.14_1,Reference,0.769830105
111CBCAER_8.8.13_1,Reference,1.096839127
111CBCAER_8.8.13_2,Reference,0.992031065
111CE0569_10.11.10_1,Intermediate,1.209768816
111CE0569_5.11.10_1,Reference,0.970250656
111CE0569_6.15.10_1,Reference,1.027720044
111CE0569_7.20.10_1,Reference,1.026089294
111CE0569_9.1.10_1,Reference,0.953392267
111CR0911_8.19.14_1,NA,1.273122076
111CR1012_8.18.14_1,Stressed,1.174937391
111ERATRC_10.10.12_1,Reference,0.994492688
111FC1098_6.10.14_1,NA,1.161901604
111FCA207_7.23.13_1,Intermediate,1.022164949
111FS0001_7.5.11_1,Reference,0.924014417
111FS0007_7.11.11_1,Reference,1.032665223
111FS0008_5.2.12_1,Reference,0.885419794
111FS0008_6.7.12_1,Reference,1.052671024
111FS0008_7.19.12_1,Reference,0.974873884
111FS0008_7.6.11_1,Reference,0.932745982
111HSCAER_7.26.11_1,Reference,1.119539727
111HSCAER_7.26.11_2,Reference,1.103618188
111PAL105_7.13.11_1,Reference,0.904231875
111PS0008_9.29.08_1,Intermediate,0.981697043
111PS0008_9.9.08_1,Intermediate,1.052053369
111PS0008_9.9.08_2,Intermediate,1.214381485
111PS0013_8.19.08_1,Intermediate,0.880526119
111PS0057_8.18.08_1,Stressed,0.849558181
111PS0060_10.7.08_1,Reference,1.094661811
111PS0095_8.27.09_1,Intermediate,0.983630711
111PS0095_8.27.09_2,Intermediate,1.017004692
111PS0110_6.24.09_1,Reference,0.96302689
111PS0110_6.9.14_1,Reference,1.01752302
111PS0121_7.20.10_1,Intermediate,0.987740442
111PS0144_8.18.10_1,Reference,1.021447394
111PS0159_7.14.11_1,Intermediate,1.013222985
111PS0160_7.25.11_1,Reference,1.04369036
111PS0169_7.25.11_1,Intermediate,1.038825435
111PS0169_7.25.11_2,Intermediate,1.092941003
111PS0178_8.14.12_1,Intermediate,0.989912699
111PS0204_8.17.10_1,Reference,0.910496336
111PS0237_9.12.13_1,Intermediate,0.944479791
111RSCAER_8.8.11_1,Reference,0.956916436
111SF1016_10.4.10_1,NA,1.11584417
111SF1016_7.14.10_1,NA,0.964266301
111SF1016_8.2.10_1,NA,0.974209931
111SF1016_8.25.10_1,NA,1.165707657
111SF1016_9.14.10_1,NA,1.023876693
111SF1569_10.4.10_1,NA,1.099616099
111SF1569_7.14.10_1,NA,0.882562421
111SF1569_8.2.10_1,NA,0.987909518
111SF1569_8.25.10_1,NA,1.128813176
111SF1569_8.25.10_2,NA,1.153300713
111SF1569_9.14.10_1,NA,0.869047576
111SF1944_10.5.10_1,NA,1.210670375
111SF1944_7.15.10_1,NA,0.84859591
111SF1944_8.24.10_1,NA,1.038157245
111SF1944_8.3.10_1,NA,1.045448919
111SF1944_9.15.10_1,NA,0.922009452
111SF2538_10.3.10_1,NA,1.100598674
111SF2538_7.15.10_1,NA,0.999190019
111SF2538_8.24.10_1,NA,0.859553102
111SF2538_8.3.10_1,NA,0.934455531
111SF2538_9.15.10_1,NA,0.89691712
111TGCAER_7.24.12_1,Reference,0.945472509
111TGCAER_8.17.10_1,Reference,0.987513299
111WE0816_6.12.13_1,Reference,1.060206717
111WE1050_6.12.13_1,Reference,1.000443057
111WE1071_7.26.12_1,Reference,1.075621794
111WER003_6.10.14_1,Reference,0.843773178
111WER008_7.23.12_1,Reference,0.967260424
111WER159_10.19.09_1,Reference,0.994003065
111WER159_5.21.09_1,Reference,1.06561511
111WER159_6.24.09_1,Reference,0.902463146
111WER159_8.3.09_1,Reference,0.990440687
111WER159_9.16.09_1,Reference,0.940266676
112PS0157_7.12.11_1,Intermediate,1.007832396
113GAR010_6.8.09_1,Stressed,0.615975419
113GAR010_8.27.12_1,Stressed,0.811871034
113GAR011_8.22.11_1,Intermediate,1.105482228
113GAR011_9.1.10_1,Intermediate,0.950338317
113GAR015_8.23.11_1,Intermediate,0.83512891
113GAR015_8.31.10_1,Intermediate,0.900534263
113GAR015_9.9.13_1,Intermediate,1.056743713
113GAR023_7.22.14_1,Intermediate,0.865737523
113GAR023_8.5.13_1,Intermediate,1.152796241
113GAR030_8.26.09_1,Intermediate,1.06066548
113GAR030_8.26.09_2,Intermediate,1.068500033
113GAR030_8.28.12_1,Intermediate,1.077513122
113GAR038_6.8.09_1,Stressed,0.881741965
113GAR038_9.10.12_1,Stressed,0.960068344
113GAR042_9.10.13_1,Intermediate,1.00914887
113GAR046_6.18.12_1,Stressed,1.201589659
113GAR046_6.8.09_1,Stressed,1.022598356
113GAR046_9.2.14_1,Stressed,1.006070827
113GAR061_6.19.12_1,Stressed,1.029715021
113GAR061_7.1.09_1,Stressed,0.936789499
113GAR061_9.3.14_1,Stressed,1.01808471
113GAR061_9.3.14_2,Stressed,0.956562556
113GAR062_6.30.09_1,Intermediate,1.279963723
113GAR062_8.27.12_1,Intermediate,0.984981171
113GAR084_6.28.10_1,Stressed,1.159409359
113GAR087_6.29.10_1,Intermediate,1.128212443
113GAR087_8.6.13_1,Intermediate,1.04178693
113GAR087_9.11.12_1,Intermediate,1.018012683
113GAR087_9.11.12_2,Intermediate,0.977249206
113GAR089_6.14.10_1,Intermediate,0.906101025
113GAR089_6.20.11_1,Intermediate,0.963787937
113GAR089_8.5.09_1,Intermediate,0.936142575
113GAR094_7.27.10_1,Stressed,1.242787648
113GAR094_7.27.10_2,Stressed,1.179346069
113GAR105_6.14.10_1,Intermediate,1.115259513
113GAR105_6.20.11_1,Intermediate,1.230190603
113GAR105_8.4.09_1,Intermediate,0.850246429
113GAR110_6.18.12_1,Stressed,0.887423751
113GAR110_6.30.09_1,Stressed,0.943968954
113GAR110_9.2.14_1,Stressed,0.922008144
113GAR112_6.15.10_1,Intermediate,1.083010771
113GAR112_7.22.14_1,Intermediate,0.833627707
113GAR112_8.22.11_1,Intermediate,1.081485371
113GAR112_8.4.09_1,Intermediate,0.919931426
113GAR112_8.4.09_2,Intermediate,0.936485131
113GAR112_8.7.13_1,Intermediate,1.040864184
113GAR118_7.26.10_1,Intermediate,0.830608168
113GAR118_9.10.12_1,Intermediate,0.880739486
113GAR178_6.21.11_1,Intermediate,1.024753157
113GAR178_7.23.14_1,Intermediate,0.946982798
113GAR178_8.31.10_1,Intermediate,1.049379028
113GAR178_9.9.13_1,Intermediate,0.880269728
113GAR178_9.9.13_2,Intermediate,0.933749509
113GAR244_6.28.10_1,Intermediate,0.88724061
113PS0012_9.9.08_1,Intermediate,1.035342763
113PS0012_9.9.08_2,Intermediate,0.920799326
113PS0076_8.2.12_1,Intermediate,1.183069037
113PS0076_8.22.12_1,Intermediate,1.106125011
113PS0084_8.18.09_1,Stressed,1.014102772
113PS0100_8.25.09_1,Stressed,1.087032361
113PS0120_9.14.10_1,Intermediate,1.052285491
113PS0132_9.15.10_1,Stressed,0.989950406
113PS0168_7.6.11_1,Intermediate,1.146925999
113PS0196_8.1.12_1,Stressed,1.137439938
113PS0216_9.3.13_1,Intermediate,0.962992704
113PS0232_9.4.13_1,Intermediate,1.089730383
113PS0232_9.4.13_2,Intermediate,1.071614717
113PS0268_6.11.14_1,Intermediate,1.087892778
113RG8046_8.19.10_1,Reference,0.986252756
113RG8046_8.19.10_2,Reference,0.959534865
114AU7778_6.21.10_1,Intermediate,1.21512241
114CE0131_7.31.12_1,Reference,1.174650446
114CR0903_8.26.13_1,Stressed,1.053030729
114CR0903_9.25.13_1,Stressed,1.084232503
114FCA199_8.1.13_1,Intermediate,0.906745836
114GV3469_7.5.11_1,Intermediate,0.821841803
114GV5331_7.6.11_1,Intermediate,0.72185642
114MA2364_7.6.10_1,Intermediate,0.905658241
114MRCURX_6.24.08_1,Intermediate,1.036511574
114MW8747_6.23.09_1,NA,1.12983969
114PS0088_8.19.09_1,Intermediate,1.295927516
114PS0145_6.20.11_1,Reference,1.194904582
114PS0149_7.10.12_1,Stressed,0.942466284
114PS0152_7.7.11_1,Stressed,0.583377307
114PS0152_8.18.11_1,Stressed,0.704270154
114PS0209_6.10.13_1,Intermediate,1.105862309
114PS0229_6.4.13_1,Intermediate,0.855008336
114RR1041_10.10.11_1,Stressed,1.087221263
114RR1041_10.25.11_1,Stressed,1.102392835
114RR1041_10.25.11_2,Stressed,1.030001498
114RR1041_8.2.11_1,Stressed,1.104792619
114RR1041_9.7.11_1,Stressed,1.143741613
114RR1310_6.2.11_1,Stressed,0.828561623
114RR1599_10.10.11_1,Stressed,1.076073154
114RR1599_10.25.11_1,Stressed,1.121509025
114RR1599_6.2.11_1,Stressed,0.805799857
114RR1599_6.27.11_1,Stressed,0.787936751
114RR1599_8.2.11_1,Stressed,1.055539658
114RR1599_8.2.11_2,Stressed,0.953688056
114RR1599_9.7.11_1,Stressed,1.09693718
114RR2678_10.11.11_1,Stressed,1.060302747
114RR2678_10.24.11_1,Stressed,1.070407056
114RR2678_6.29.11_1,Stressed,1.011134918
114RR2678_8.1.11_1,Stressed,1.046490376
114RR2678_9.13.11_1,Stressed,1.020856622
114RR2769_6.1.11_1,Stressed,0.931876781
114RR2899_10.11.11_1,Stressed,1.055504985
114RR2899_10.24.11_1,Stressed,1.002369147
114RR2899_6.1.11_1,Stressed,0.585286422
114RR2899_6.29.11_1,Stressed,0.968165804
114RR2899_8.1.11_1,Stressed,1.051977822
