SITE_CODE,MSMT_DATE,WSE,GSE_WSE,WLM_ORG_NAME,LATITUDE,LONGITUDE,COUNTY_NAME,WELL_DEPTH,WELL_USE
382913N1213131W001,2019-05-17T00:00:00Z,-41.8,85.3,Department of Water Resources,38.2913,-121.313,Sacramento,384,Irrigation
382913N1213131W001,2019-04-03T00:00:00Z,-40.9,84.4,Department of Water Resources,38.2913,-121.313,Sacramento,384,Irrigation
382913N1213131W001,2019-04-03T00:00:00Z,-40.9,84.4,Department of Water Resources,38.2913,-121.313,Sacramento,384,Irrigation
382913N1213131W001,2019-04-03T00:00:00Z,-40.9,84.4,Department of Water Resources,38.2913,-121.313,Sacramento,384,Irrigation
382913N1213131W001,2019-02-12T00:00:00Z,-41.6,85.1,Department of Water Resources,38.2913,-121.313,Sacramento,384,Irrigation
382913N1213131W001,2019-02-12T00:00:00Z,-41.6,85.1,Department of Water Resources,38.2913,-121.313,Sacramento,384,Irrigation
382913N1213131W001,2019-02-12T00:00:00Z,-41.6,85.1,Department of Water Resources,38.2913,-121.313,Sacramento,384,Irrigation
382913N1213131W001,2019-01-09T00:00:00Z,-42.4,85.9,Department of Water Resources,38.2913,-121.313,Sacramento,384,Irrigation
382913N1213131W001,2019-01-09T00:00:00Z,-42.4,85.9,Department of Water Resources,38.2913,-121.313,Sacramento,384,Irrigation
382913N1213131W001,2019-01-09T00:00:00Z,-42.4,85.9,Department of Water Resources,38.2913,-121.313,Sacramento,384,Irrigation
382913N1213131W001,2018-10-17T00:00:00Z,-53.7,97.2,Department of Water Resources,38.2913,-121.313,Sacramento,384,Irrigation
382913N1213131W001,2018-10-17T00:00:00Z,-53.7,97.2,Department of Water Resources,38.2913,-121.313,Sacramento,384,Irrigation
382913N1213131W001,2018-10-17T00:00:00Z,-53.7,97.2,Department of Water Resources,38.2913,-121.313,Sacramento,384,Irrigation
382913N1213131W001,2018-08-10T00:00:00Z,29.8,13.7,Department of Water Resources,38.2913,-121.313,Sacramento,384,Irrigation
382913N1213131W001,2018-08-10T00:00:00Z,29.8,13.7,Department of Water Resources,38.2913,-121.313,Sacramento,384,Irrigation
382913N1213131W001,2018-08-10T00:00:00Z,29.8,13.7,Department of Water Resources,38.2913,-121.313,Sacramento,384,Irrigation
