SITE_CODE,MSMT_DATE,WSE,GSE_WSE,WLM_ORG_NAME,LATITUDE,LONGITUDE,COUNTY_NAME,WELL_DEPTH,WELL_USE
384121N1212102W001,2019-01-19T00:00:00Z,-23.69,157.69,Southeast Sacramento County Agricultural Water Authority,38.4121,-121.21,Sacramento,290,Unknown
384121N1212102W001,2019-01-12T00:00:00Z,-23.43,157.43,Southeast Sacramento County Agricultural Water Authority,38.4121,-121.21,Sacramento,290,Unknown
384121N1212102W001,2019-01-05T00:00:00Z,-23.4,157.4,Southeast Sacramento County Agricultural Water Authority,38.4121,-121.21,Sacramento,290,Unknown
384121N1212102W001,2018-12-29T00:00:00Z,-24.14,158.14,Southeast Sacramento County Agricultural Water Authority,38.4121,-121.21,Sacramento,290,Unknown
384121N1212102W001,2018-12-22T00:00:00Z,-24.13,158.13,Southeast Sacramento County Agricultural Water Authority,38.4121,-121.21,Sacramento,290,Unknown
384121N1212102W001,2018-12-08T00:00:00Z,-24.91,158.91,Southeast Sacramento County Agricultural Water Authority,38.4121,-121.21,Sacramento,290,Unknown
384121N1212102W001,2018-12-02T00:00:00Z,-24.89,158.89,Southeast Sacramento County Agricultural Water Authority,38.4121,-121.21,Sacramento,290,Unknown
384121N1212102W001,2018-11-24T00:00:00Z,-24.97,158.97,Southeast Sacramento County Agricultural Water Authority,38.4121,-121.21,Sacramento,290,Unknown
384121N1212102W001,2018-11-10T00:00:00Z,-25.91,159.91,Southeast Sacramento County Agricultural Water Authority,38.4121,-121.21,Sacramento,290,Unknown
384121N1212102W001,2018-11-03T00:00:00Z,-26.22,160.22,Southeast Sacramento County Agricultural Water Authority,38.4121,-121.21,Sacramento,290,Unknown
384121N1212102W001,2018-10-20T00:00:00Z,-26.38,160.38,Southeast Sacramento County Agricultural Water Authority,38.4121,-121.21,Sacramento,290,Unknown
384121N1212102W001,2018-10-13T00:00:00Z,-26.19,160.19,Southeast Sacramento County Agricultural Water Authority,38.4121,-121.21,Sacramento,290,Unknown
384121N1212102W001,2018-10-06T00:00:00Z,-26.23,160.23,Southeast Sacramento County Agricultural Water Authority,38.4121,-121.21,Sacramento,290,Unknown
384121N1212102W001,2018-09-28T00:00:00Z,-26.62,160.62,Southeast Sacramento County Agricultural Water Authority,38.4121,-121.21,Sacramento,290,Unknown
384121N1212102W001,2018-09-22T00:00:00Z,-27.18,161.18,Southeast Sacramento County Agricultural Water Authority,38.4121,-121.21,Sacramento,290,Unknown
384121N1212102W001,2018-09-15T00:00:00Z,-27.29,161.29,Southeast Sacramento County Agricultural Water Authority,38.4121,-121.21,Sacramento,290,Unknown
384121N1212102W001,2018-09-08T00:00:00Z,-26.83,160.83,Southeast Sacramento County Agricultural Water Authority,38.4121,-121.21,Sacramento,290,Unknown
384121N1212102W001,2018-09-01T00:00:00Z,-26.86,160.86,Southeast Sacramento County Agricultural Water Authority,38.4121,-121.21,Sacramento,290,Unknown
