STN_ID,SITE_CODE,SWN,WELL_NAME,LATITUDE,LONGITUDE,WLM_METHOD,WLM_ACC,BASIN_CODE,BASIN_NAME,COUNTY_NAME,WELL_DEPTH,WELL_USE,WELL_TYPE
54796,387946N1213425W004,NA,BOMW-B,38.7946,-121.343,Surveyed to a benchmark,0.1 ft.,5-021.64,North American,Placer,480,Observation,Part of a nested/multi-completion well
54797,387946N1213425W006,NA,BOMW-C,38.7946,-121.343,Surveyed to a benchmark,0.1 ft.,5-021.64,North American,Placer,518,Observation,Part of a nested/multi-completion well
48569,387957N1213813W001,NA,CVMW-1A,38.7957,-121.381,Surveyed to a benchmark,0.1 ft.,5-021.64,North American,Placer,285,Observation,Part of a nested/multi-completion well
48571,387957N1213813W002,NA,CVMW-1B,38.7957,-121.381,Surveyed to a benchmark,0.1 ft.,5-021.64,North American,Placer,495,Observation,Part of a nested/multi-completion well
48572,387957N1213813W003,NA,CVMW-1C,38.7957,-121.381,Surveyed to a benchmark,0.1 ft.,5-021.64,North American,Placer,590,Observation,Part of a nested/multi-completion well
54798,387964N1213583W002,NA,Well 14 MW-A,38.7964,-121.358,Digital Elevation Model,5 ft.,5-021.64,North American,Placer,279,Observation,Part of a nested/multi-completion well
54799,387964N1213583W004,NA,Well 14 MW-B,38.7964,-121.358,Digital Elevation Model,5 ft.,5-021.64,North American,Placer,387,Observation,Part of a nested/multi-completion well
54800,387964N1213583W006,NA,Well 14 MW-C,38.7964,-121.358,Digital Elevation Model,5 ft.,5-021.64,North American,Placer,445,Observation,Part of a nested/multi-completion well
54801,387964N1213583W008,NA,Well 14 MW-D,38.7964,-121.358,Digital Elevation Model,5 ft.,5-021.64,North American,Placer,508,Observation,Part of a nested/multi-completion well
11920,387975N1213541W001,11N06E18P005M,NA,38.7975,-121.354,Unknown,Unknown,5-021.64,North American,Placer,NA,Unknown,Unknown
11221,387977N1214521W001,11N05E18R001M,South Sutter WD,38.7977,-121.452,Unknown,Unknown,5-021.64,North American,Placer,NA,Irrigation,Single Well
11919,387998N1213186W001,11N06E16M002M,NA,38.7998,-121.319,Unknown,Unknown,5-021.64,North American,Placer,160,Unknown,Unknown
54855,388000N1214000W002,NA,GEI Test 1,38.8,-121.4,USGS quad,20 ft.,5-021.64,North American,Placer,NA,Observation,Single Well
31770,388008N1213219W001,11N06E17J002M,NA,38.8008,-121.322,Unknown,Unknown,5-021.64,North American,Placer,113,Unknown,Unknown
54777,388026N1214432W002,NA,WPMW-12A,38.8026,-121.443,Surveyed to a benchmark,0.1 ft.,5-021.64,North American,Placer,300,Observation,Part of a nested/multi-completion well
54778,388026N1214432W004,NA,WPMW-12B,38.8026,-121.443,Surveyed to a benchmark,0.1 ft.,5-021.64,North American,Placer,550,Observation,Part of a nested/multi-completion well
51293,388027N1213384W001,NA,DCMW-3,38.8027,-121.338,Surveyed to a benchmark,0.1 ft.,5-021.64,North American,Placer,520,Observation,Single Well
11219,388029N1214145W001,11N05E16H001M,NA,38.8029,-121.415,Unknown,Unknown,5-021.64,North American,Placer,460,Irrigation,Unknown
30281,388037N1214031W001,11N05E15G001M,NA,38.8037,-121.403,Unknown,Unknown,5-021.64,North American,Placer,134,Irrigation,Unknown
51291,388058N1213355W001,NA,DCMW-1,38.8058,-121.336,Surveyed to a benchmark,0.1 ft.,5-021.64,North American,Placer,455,Observation,Single Well
51292,388063N1213354W001,NA,DCMW-2,38.8063,-121.335,Surveyed to a benchmark,0.1 ft.,5-021.64,North American,Placer,437,Observation,Single Well
11220,388069N1214338W001,11N05E17A004M,NA,38.8069,-121.434,Unknown,Unknown,5-021.64,North American,Placer,210,Residential,Unknown
31769,388074N1212947W001,11N06E15C004M,NA,38.8074,-121.295,Unknown,Unknown,5-021.64,North American,Placer,98,Unknown,Unknown
51290,388116N1213054W001,NA,Tinker MW,38.8116,-121.305,Digital Elevation Model,5 ft.,5-021.64,North American,Placer,177,Observation,Single Well
11918,388133N1212663W001,11N06E11R001M,NA,38.8133,-121.266,Unknown,Unknown,5-021.64,North American,Placer,NA,Stockwatering,Unknown
11917,388134N1212990W001,11N06E10P001M,NA,38.8134,-121.299,Unknown,Unknown,5-021.64,North American,Placer,410,Stockwatering,Unknown
48563,388145N1213491W001,NA,WPMW-2A,38.8145,-121.349,Surveyed to a benchmark,0.1 ft.,5-021.64,North American,Placer,230,Observation,Single Well
48564,388145N1213491W002,NA,WPMW-2B,38.8145,-121.349,Surveyed to a benchmark,0.1 ft.,5-021.64,North American,Placer,425,Observation,Part of a nested/multi-completion well
11218,388175N1214520W001,11N05E07H001M,NA,38.8175,-121.452,Unknown,Unknown,5-021.64,North American,Placer,NA,Irrigation,Unknown
11216,388253N1213735W001,11N05E01N001M,NA,38.8253,-121.374,Unknown,Unknown,5-021.64,North American,Placer,NA,Unknown,Unknown
30280,388297N1214134W001,11N05E03M003M,NA,38.8297,-121.413,Unknown,Unknown,5-021.64,North American,Placer,600,Unknown,Unknown
11217,388352N1214515W001,11N05E06H001M,NA,38.8352,-121.452,Unknown,Unknown,5-021.64,North American,Placer,250,Irrigation,Unknown
31768,388366N1213470W001,11N06E06B001M,NA,38.8366,-121.347,Unknown,Unknown,5-021.64,North American,Placer,180,Residential,Unknown
11916,388378N1213431W001,11N06E06A001M,NA,38.8378,-121.343,Unknown,Unknown,5-021.64,North American,Placer,265,Residential,Unknown
13169,388448N1213257W001,12N06E32K001M,NA,38.8448,-121.326,Unknown,Unknown,5-021.64,North American,Placer,NA,Irrigation,Unknown
48565,388476N1212872W001,NA,WPMW-3A,38.8476,-121.287,Surveyed to a benchmark,0.1 ft.,5-021.64,North American,Placer,53,Observation,Part of a nested/multi-completion well
48566,388476N1212872W002,NA,WPMW-3B,38.8476,-121.287,Surveyed to a benchmark,0.1 ft.,5-021.64,North American,Placer,140,Observation,Part of a nested/multi-completion well
13161,388480N1213913W001,12N05E35E002M,NA,38.848,-121.391,Unknown,Unknown,5-021.64,North American,Placer,352,Irrigation,Unknown
13160,388501N1214521W001,12N05E31A001M,NA,38.8501,-121.452,Unknown,Unknown,5-021.64,North American,Placer,NA,Irrigation,Unknown
32067,388531N1214244W001,12N05E33C001M,NA,38.8531,-121.424,Unknown,Unknown,5-021.64,North American,Placer,610,Irrigation,Unknown
32072,388603N1213502W001,12N06E30L001M,NA,38.8603,-121.35,Unknown,Unknown,5-021.64,North American,Placer,NA,Irrigation,Unknown
49927,388604N1213544W001,NA,MW 1-1,38.8604,-121.354,Digital Elevation Model,2.5 ft,5-021.64,North American,Placer,398,Observation,Part of a nested/multi-completion well
49928,388604N1213544W002,NA,MW 1-2,38.8604,-121.354,Digital Elevation Model,2.5 ft,5-021.64,North American,Placer,318,Observation,Part of a nested/multi-completion well
49929,388604N1213544W003,NA,MW 1-3,38.8604,-121.354,Digital Elevation Model,2.5 ft,5-021.64,North American,Placer,204,Observation,Part of a nested/multi-completion well
49930,388604N1213544W004,NA,MW 1-4,38.8604,-121.354,Digital Elevation Model,2.5 ft,5-021.64,North American,Placer,92,Observation,Part of a nested/multi-completion well
13168,388607N1213177W001,12N06E28M001M,NA,38.8607,-121.318,Unknown,Unknown,5-021.64,North American,Placer,NA,Irrigation,Unknown
13158,388625N1213791W001,12N05E26H002M,NA,38.8625,-121.379,Unknown,Unknown,5-021.64,North American,Placer,NA,Residential,Unknown
49940,388637N1213222W001,NA,SLC-2,38.8637,-121.322,Digital Elevation Model,2.5 ft,5-021.64,North American,Placer,293,Observation,Single Well
13167,388658N1213020W001,12N06E27D001M,NA,38.8658,-121.302,Unknown,Unknown,5-021.64,North American,Placer,126,Unknown,Unknown
32066,388667N1214513W001,12N05E29D001M,NA,38.8667,-121.451,Unknown,Unknown,5-021.64,North American,Placer,NA,Unknown,Unknown
32071,388672N1213019W001,12N06E27D002M,NA,38.8672,-121.302,Unknown,Unknown,5-021.64,North American,Placer,231,Unknown,Unknown
13159,388674N1214243W001,12N05E28C001M,NA,38.8674,-121.424,Unknown,Unknown,5-021.64,North American,Placer,160,Irrigation,Unknown
17047,388676N1213939W001,12N05E26D001M,NA,38.8676,-121.394,Unknown,Unknown,5-021.64,North American,Placer,NA,Irrigation,Unknown
49941,388677N1213397W001,NA,SLC-3,38.8677,-121.34,Digital Elevation Model,2.5 ft,5-021.64,North American,Placer,311,Observation,Single Well
32070,388693N1213503W001,12N06E19P001M,NA,38.8693,-121.35,Unknown,Unknown,5-021.64,North American,Placer,300,Unknown,Unknown
13166,388696N1213321W001,12N06E20P003M,NA,38.8696,-121.332,Unknown,Unknown,5-021.64,North American,Placer,NA,Irrigation,Unknown
49939,388755N1213144W001,NA,SLC-1,38.8755,-121.314,Digital Elevation Model,2.5 ft,5-021.64,North American,Placer,249,Observation,Single Well
49937,388826N1213078W001,NA,MW 5-1,38.8826,-121.308,Digital Elevation Model,2.5 ft,5-021.64,North American,Placer,100,Observation,Part of a nested/multi-completion well
49938,388826N1213078W002,NA,MW 5-2,38.8826,-121.308,Digital Elevation Model,2.5 ft,5-021.64,North American,Placer,62,Observation,Part of a nested/multi-completion well
32904,388837N1214520W001,12N05E18R001M,NA,38.8837,-121.452,Unknown,Unknown,5-021.64,North American,Placer,NA,Irrigation,Unknown
17045,388843N1213773W001,12N05E14R001M,NA,38.8843,-121.377,Unknown,Unknown,5-021.64,North American,Placer,653,Irrigation,Unknown
13165,388875N1213497W001,12N06E18L001M,NA,38.8875,-121.35,Unknown,Unknown,5-021.64,North American,Placer,300,Irrigation,Unknown
54779,388882N1214005W002,NA,WPMW-11A,38.8882,-121.4,Surveyed to a benchmark,0.1 ft.,5-021.64,North American,Placer,162,Observation,Part of a nested/multi-completion well
54780,388882N1214005W004,NA,WPMW-11B,38.8882,-121.4,Surveyed to a benchmark,0.1 ft.,5-021.64,North American,Placer,309,Observation,Part of a nested/multi-completion well
49936,388893N1212847W001,NA,MW 4,38.8893,-121.285,Digital Elevation Model,2.5 ft,5-021.64,North American,Placer,25,Observation,Single Well
32902,388915N1213781W001,12N05E14H001M,NA,38.8915,-121.378,Unknown,Unknown,5-021.64,North American,Placer,300,Unknown,Unknown
13164,388931N1212757W001,12N06E14F001M,NA,38.8931,-121.276,Unknown,Unknown,5-021.64,North American,Placer,NA,Unknown,Unknown
32903,388943N1214335W001,12N05E17A002M,NA,38.8943,-121.434,Unknown,Unknown,5-021.64,North American,Placer,380,Irrigation,Unknown
32069,388963N1213206W001,12N06E16D001M,NA,38.8963,-121.321,Unknown,Unknown,5-021.64,North American,Placer,106,Unknown,Unknown
39126,388965N1214009W001,12N05E15A001M,NA,38.8965,-121.401,Unknown,Unknown,5-021.64,North American,Placer,100,Unknown,Unknown
17046,388966N1214480W001,12N05E17D001M,NA,38.8966,-121.448,Unknown,Unknown,5-021.64,North American,Placer,185,Irrigation,Unknown
49934,388971N1213301W001,NA,MW 3-1,38.8971,-121.33,Digital Elevation Model,2.5 ft,5-021.64,North American,Placer,133,Observation,Part of a nested/multi-completion well
49935,388971N1213301W002,NA,MW 3-2,38.8971,-121.33,Digital Elevation Model,2.5 ft,5-021.64,North American,Placer,75,Observation,Part of a nested/multi-completion well
17044,388974N1213665W001,12N05E12Q001M,NA,38.8974,-121.367,Unknown,Unknown,5-021.64,North American,Placer,300,Residential,Unknown
49942,389011N1213514W001,NA,Airport Well 4 MW,38.9011,-121.351,Digital Elevation Model,2.5 ft,5-021.64,North American,Placer,414,Observation,Single Well
32068,389031N1213576W001,12N06E07M001M,12N06E07M001M,38.9031,-121.358,Unknown,Unknown,5-021.64,North American,Placer,175,Residential,Single Well
13163,389062N1212808W001,12N06E11E001M,NA,38.9062,-121.281,Unknown,Unknown,5-021.64,North American,Placer,145,Residential,Unknown
32901,389078N1214522W001,12N05E07H001M,NA,38.9078,-121.452,Unknown,Unknown,5-021.64,North American,Placer,415,Irrigation,Unknown
17043,389128N1214522W001,12N05E06R001M,NA,38.9128,-121.452,Unknown,Unknown,5-021.64,North American,Placer,NA,Irrigation,Unknown
17041,389142N1213590W001,12N05E01R001M,NA,38.9142,-121.359,Unknown,Unknown,5-021.64,North American,Placer,370,Irrigation,Unknown
17042,389168N1214567W001,12N05E06J003M,NA,38.9168,-121.457,Unknown,Unknown,5-021.64,North American,Placer,NA,Irrigation,Unknown
51329,389185N1213268W001,NA,Swainson,38.9185,-121.327,Digital aerial photo,5 ft.,5-021.64,North American,Placer,92,Irrigation,Single Well
32900,389193N1214277W001,12N05E04F001M,NA,38.9193,-121.428,Unknown,Unknown,5-021.64,North American,Placer,NA,Irrigation,Unknown
32899,389254N1213763W001,12N05E01D002M,NA,38.9254,-121.376,Unknown,Unknown,5-021.64,North American,Placer,140,Residential,Unknown
49931,389255N1213566W001,NA,MW 2-1,38.9255,-121.357,Digital Elevation Model,2.5 ft,5-021.64,North American,Placer,310,Observation,Part of a nested/multi-completion well
49932,389255N1213566W002,NA,MW 2-2,38.9255,-121.357,Digital Elevation Model,2.5 ft,5-021.64,North American,Placer,170,Observation,Part of a nested/multi-completion well
49933,389255N1213566W003,NA,MW 2-3,38.9255,-121.357,Digital Elevation Model,2.5 ft,5-021.64,North American,Placer,85,Observation,Part of a nested/multi-completion well
13162,389261N1213426W001,12N06E06A001M,12N06E06A001M,38.9261,-121.343,Unknown,Unknown,5-021.64,North American,Placer,180,Irrigation,Single Well
14537,389267N1212976W001,13N06E34P002M,NA,38.9267,-121.298,Unknown,Unknown,5-021.64,North American,Placer,NA,Residential,Unknown
17213,389278N1213964W001,13N05E34R003M,NA,38.9278,-121.396,Unknown,Unknown,5-021.64,North American,Placer,70,Unknown,Unknown
17214,389278N1213964W002,13N05E34R004M,NA,38.9278,-121.396,Unknown,Unknown,5-021.64,North American,Placer,100,Residential,Unknown
35633,389292N1214056W001,13N05E34P001M,NA,38.9292,-121.406,Unknown,Unknown,5-021.64,North American,Placer,NA,Irrigation,Unknown
35636,389323N1213173W001,13N06E33M001M,NA,38.9323,-121.317,Unknown,Unknown,5-021.64,North American,Placer,NA,Irrigation,Unknown
