STN_ID,SITE_CODE,SWN,WELL_NAME,LATITUDE,LONGITUDE,WLM_METHOD,WLM_ACC,BASIN_CODE,BASIN_NAME,COUNTY_NAME,WELL_DEPTH,WELL_USE,WELL_TYPE,WCR_NO,OBJECTID,COUNTY_NAM,COUNTY_ABB,COUNTY_NUM,COUNTY_COD,COUNTY_FIP,Shape,Shape.STAr,Shape.STLe
13804,387081N1212108W001,10N07E21H001M,NA,38.7081,-121.211,Unknown,Unknown,5-021.64,North American,Sacramento,NA,Unknown,Unknown,NA,34,Sacramento County,SAC,34,34,067,Polygon,4203503574.269531,406962.476293
33087,387092N1213300W001,10N06E21F002M,SCWA_SGA_010,38.7092,-121.33,Unknown,Unknown,5-021.64,North American,Sacramento,144,Residential,Single Well,NA,34,Sacramento County,SAC,34,34,067,Polygon,4203503574.269531,406962.476293
51642,387099N1213570W001,NA,N34,38.7099,-121.357,Other,Unknown,5-021.64,North American,Sacramento,567,Unknown,Single Well,NA,34,Sacramento County,SAC,34,34,067,Polygon,4203503574.269531,406962.476293
48034,387117N1213327W001,NA,Poker (A),38.7117,-121.333,Surveyed to a benchmark,Unknown,5-021.64,North American,Sacramento,134,Observation,Part of a nested/multi-completion well,NA,34,Sacramento County,SAC,34,34,067,Polygon,4203503574.269531,406962.476293
48035,387117N1213327W002,NA,Poker (B),38.7117,-121.333,Surveyed to a benchmark,Unknown,5-021.64,North American,Sacramento,176,Observation,Part of a nested/multi-completion well,NA,34,Sacramento County,SAC,34,34,067,Polygon,4203503574.269531,406962.476293
48036,387117N1213327W003,NA,Poker (C),38.7117,-121.333,Surveyed to a benchmark,Unknown,5-021.64,North American,Sacramento,320,Observation,Part of a nested/multi-completion well,NA,34,Sacramento County,SAC,34,34,067,Polygon,4203503574.269531,406962.476293
48037,387117N1213327W004,NA,Poker (D),38.7117,-121.333,Surveyed to a benchmark,Unknown,5-021.64,North American,Sacramento,470,Observation,Part of a nested/multi-completion well,NA,34,Sacramento County,SAC,34,34,067,Polygon,4203503574.269531,406962.476293
15688,387137N1214906W001,10N04E24B001M,SCWA_SGA_007,38.7137,-121.491,Unknown,Unknown,5-021.64,North American,Sacramento,NA,Irrigation,Single Well,NA,34,Sacramento County,SAC,34,34,067,Polygon,4203503574.269531,406962.476293
32580,387138N1215047W001,10N04E23A001M,SCWA_SGA_006,38.7138,-121.505,Unknown,Unknown,5-021.64,North American,Sacramento,85,Industrial,Single Well,NA,34,Sacramento County,SAC,34,34,067,Polygon,4203503574.269531,406962.476293
15687,387139N1215459W001,10N04E21B002M,10N04E21B002M,38.7139,-121.546,Unknown,Unknown,5-021.64,North American,Sacramento,NA,Irrigation,Single Well,NA,34,Sacramento County,SAC,34,34,067,Polygon,4203503574.269531,406962.476293
13803,387141N1212431W001,10N07E20D001M,SCWA_SGA_011,38.7141,-121.243,Unknown,Unknown,5-021.64,North American,Sacramento,185,Residential,Single Well,NA,34,Sacramento County,SAC,34,34,067,Polygon,4203503574.269531,406962.476293
33085,387146N1214218W001,10N05E15P001M,NA,38.7146,-121.422,Unknown,Unknown,5-021.64,North American,Sacramento,180,Unknown,Unknown,NA,34,Sacramento County,SAC,34,34,067,Polygon,4203503574.269531,406962.476293
48043,387216N1213842W001,10N05E13F001M,Lone Oak Park,38.7216,-121.384,Unknown,Unknown,5-021.64,North American,Sacramento,166,Observation,Single Well,NA,34,Sacramento County,SAC,34,34,067,Polygon,4203503574.269531,406962.476293
48009,387218N1214677W001,NA,SGA_MW01,38.7218,-121.468,Surveyed to a benchmark,Unknown,5-021.64,North American,Sacramento,110,Observation,Single Well,e036639,34,Sacramento County,SAC,34,34,067,Polygon,4203503574.269531,406962.476293
48038,387228N1213298W001,NA,Antelope North (A),38.7228,-121.33,Unknown,Unknown,5-021.64,North American,Sacramento,283,Observation,Part of a nested/multi-completion well,NA,34,Sacramento County,SAC,34,34,067,Polygon,4203503574.269531,406962.476293
48039,387228N1213298W002,NA,Antelope North (B),38.7228,-121.33,Unknown,Unknown,5-021.64,North American,Sacramento,473,Observation,Part of a nested/multi-completion well,NA,34,Sacramento County,SAC,34,34,067,Polygon,4203503574.269531,406962.476293
51255,387253N1215219W001,NA,Willey,38.7253,-121.522,USGS quad,2.5 ft,5-021.64,North American,Sacramento,440,Irrigation,Single Well,726647,34,Sacramento County,SAC,34,34,067,Polygon,4203503574.269531,406962.476293
55016,387291N1215103W002,NA,TNBC Pond R,38.7291,-121.51,Unknown,Unknown,5-021.64,North American,Sacramento,228,Unknown,Single Well,NA,34,Sacramento County,SAC,34,34,067,Polygon,4203503574.269531,406962.476293
51252,387310N1215056W001,NA,TNBC Silva Dairy,38.731,-121.506,USGS quad,2.5 ft,5-021.64,North American,Sacramento,370,Irrigation,Single Well,E068452,34,Sacramento County,SAC,34,34,067,Polygon,4203503574.269531,406962.476293
51253,387312N1214937W001,NA,TNBC Betts,38.7311,-121.494,USGS quad,2.5 ft,5-021.64,North American,Sacramento,NA,Irrigation,Single Well,NA,34,Sacramento County,SAC,34,34,067,Polygon,4203503574.269531,406962.476293
51256,387363N1215312W001,NA,Bianchi,38.7363,-121.531,USGS quad,2.5 ft,5-021.64,North American,Sutter,160,Irrigation,Single Well,163360,34,Sacramento County,SAC,34,34,067,Polygon,4203503574.269531,406962.476293
