STN_ID,SITE_CODE,TOP_PRF,BOT_PRF
27905,336936N1172137W001,200,219
6999,336950N1172093W001,200,219
6998,336961N1172176W001,200,217
27793,336964N1172118W001,200,218
6997,336986N1172073W001,560,577
50393,337001N1161639W001,521,810
6142,337031N1170432W001,630,640
6279,337031N1170432W002,450,460
28623,337031N1170432W003,231,236
6280,337031N1170432W004,148,158
6281,337031N1170432W005,72,82
47319,337046N1180143W001,52,62
47320,337046N1180143W002,506,516
6993,337047N1172032W001,425,430
6994,337047N1172032W002,365,370
27791,337047N1172032W003,237,242
6995,337047N1172032W004,155,160
48327,337071N1171276W001,50,70
48330,337072N1171203W001,50,70
48331,337072N1171228W001,50,70
48295,337078N1168647W001,222,325
48294,337092N1168700W001,147,347
48319,337092N1170323W001,130,582
48328,337101N1171283W001,52,70
48291,337104N1168749W001,605,625
47278,337105N1178932W001,420,720
47334,337105N1178932W002,1060,1220
48293,337106N1168698W001,240,445
50569,337113N1163847W001,243,531
48326,337120N1171204W001,50,70
48290,337121N1168753W001,182,322
47725,337132N1162893W001,550,990
48296,337136N1168773W001,165,315
6291,337136N1171251W001,50,70
28632,337136N1171276W001,50,70
47724,337142N1163653W001,410,680
48297,337144N1168795W001,216,368
47321,337148N1177696W001,85,95
47322,337148N1177696W002,435,445
47323,337148N1177696W003,990,1000
48286,337165N1168858W001,280,340
48285,337169N1168843W001,250,359
48316,337175N1170142W001,320,360
48316,337175N1170142W001,540,580
47324,337216N1178318W001,126,136
47325,337216N1178318W002,492,502
47326,337216N1178318W003,886,896
48279,337220N1168999W001,190,250
48279,337220N1168999W001,290,390
48320,337222N1170732W001,48,104
47309,337233N1179421W001,1582,1592
47310,337233N1179421W002,172,182
47311,337233N1179421W003,810,820
48275,337255N1169071W001,422,490
6990,337281N1171465W001,250,415
48274,337289N1169080W001,270,480
48283,337295N1168930W001,300,560
47279,337295N1180593W001,90,100
48257,337296N1168279W001,20,500
48256,337305N1168248W001,20,580
48315,337314N1170076W001,260,300
48315,337314N1170076W001,440,480
48315,337314N1170076W001,540,580
47723,337323N1163918W001,296,450
48314,337334N1170002W001,364,404
48314,337334N1170002W001,504,544
48314,337334N1170002W001,665,705
48312,337339N1169805W001,150,496
48271,337349N1169151W001,420,500
49900,337371N1161883W001,505,905
47315,337374N1179933W001,90,100
47316,337374N1179933W002,1460,1470
47317,337374N1179933W003,920,930
47722,337378N1163125W001,450,940
48265,337382N1168958W001,320,360
48265,337382N1168958W001,380,400
48265,337382N1168958W001,420,440
48265,337382N1168958W001,460,480
48265,337382N1168958W001,500,520
48265,337382N1168958W001,540,560
48265,337382N1168958W001,580,590
47754,337400N1163600W001,190,270
54735,337405N1163171W002,518,566
54735,337405N1163171W002,634,878
48255,337419N1168398W001,140,400
47921,337420N1174270W001,19,115
48338,337429N1171367W001,231,412
47919,337430N1174270W001,19,115
48313,337437N1170068W001,190,554
47924,337450N1174320W001,39,58
47924,337450N1174320W001,82,96
48253,337451N1168957W001,95,603
47750,337470N1162733W001,203,654
49895,337486N1162163W001,610,630
49895,337486N1162163W001,660,910
49895,337486N1162163W001,950,1280
48337,337506N1171899W001,240,249
6305,337506N1172029W001,220,236
49898,337509N1162336W001,553,717
49898,337509N1162336W001,737,782
49898,337509N1162336W001,883,908
49898,337509N1162336W001,963,983
49898,337509N1162336W001,993,1013
49898,337509N1162336W001,1088,1179
51051,337511N1180848W001,75,85
51052,337511N1180848W002,120,130
51053,337511N1180848W003,170,190
51054,337511N1180848W004,230,250
51055,337511N1180848W005,490,510
48305,337517N1169762W001,80,560
47926,337520N1174460W001,22,54
47341,337525N1179058W001,148,160
47342,337525N1179058W002,1719,1730
47343,337525N1179058W003,872,884
48302,337541N1170035W001,22,510
48306,337542N1169706W001,5,300
48301,337543N1170030W001,100,300
48336,337543N1171908W001,220,239
51056,337549N1180436W001,185,195
51057,337549N1180436W002,240,260
51058,337549N1180436W003,295,315
51059,337549N1180436W004,360,380
49896,337554N1162164W001,500,1100
51060,337563N1180839W001,65,85
51061,337563N1180839W002,154,164
51062,337563N1180839W003,210,230
51063,337563N1180839W004,310,315
51064,337564N1180702W001,155,175
51065,337564N1180702W002,225,235
51066,337564N1180702W003,265,275
51067,337564N1180702W004,315,335
48311,337572N1169289W001,360,920
48304,337574N1169698W001,322,570
6302,337578N1171898W001,290,560
47721,337585N1164002W001,668,1202
48299,337586N1169933W001,300,440
48299,337586N1169933W001,620,660
48299,337586N1169933W001,780,820
47344,337591N1180435W001,74,84
47345,337591N1180435W002,696,706
47346,337591N1180435W003,1250,1260
6304,337611N1172043W001,230,247
6301,337634N1171815W001,230,249
48250,337644N1169049W001,36,452
47348,337646N1178432W001,123,133
47349,337646N1178432W002,1426,1436
47350,337646N1178432W003,667,677
48249,337647N1169075W001,18,97
48248,337649N1169067W001,50,393
48251,337657N1169175W001,136,1000
49901,337693N1161737W001,100,300
39315,337700N1171812W001,230,249
6303,337709N1171909W001,190,208
48298,337730N1169400W001,124,1224
47738,337733N1163308W001,500,600
6413,337734N1171990W001,135,375
48128,337742N1169245W001,270,290
48177,337748N1169760W001,300,500
46610,337761N1169518W001,500,1002
51662,337775N1163545W001,341.11,361.44
47312,337779N1179480W001,150,160
47313,337779N1179480W002,2008,2018
47314,337779N1179480W003,1070,1080
47718,337817N1164312W001,267,268
46586,337823N1182677W001,755,775
46587,337823N1182677W002,120,140
28915,337828N1172093W001,170,430
48176,337875N1170158W001,200,310
6411,337875N1171704W001,360,690
47347,337910N1178268W001,827,838
47737,337932N1163012W001,110,340
48169,337945N1169420W001,254,518
47327,337959N1180672W001,70,80
47328,337959N1180672W002,1610,1620
47329,337959N1180672W003,830,840
48173,337963N1170066W001,126,311
46611,337964N1169360W001,150,557
47717,337965N1164578W001,344,392
48174,337974N1170290W001,190,220
48174,337974N1170290W001,250,380
6409,337981N1171695W001,313,489
47338,337995N1178787W001,160,170
47339,337995N1178787W002,1390,1400
47340,337995N1178787W003,770,780
48241,338002N1171534W001,140,500
48168,338005N1169456W001,170,212
46608,338046N1169954W001,485,550
46608,338046N1169954W001,901,964
47351,338047N1178086W001,134,145
47352,338047N1178086W002,325,335
48165,338056N1169869W001,264,792
48166,338060N1169666W001,300,442
48161,338083N1170074W001,377,814
48158,338088N1170003W001,156,402
48223,338100N1170339W001,144,600
48224,338101N1170341W001,400,780
46597,338104N1181492W001,480,500
46598,338104N1181492W002,220,240
48160,338118N1170168W001,377,814
48222,338130N1170341W001,322,526
48237,338149N1172263W001,245,460
48163,338159N1169853W001,100,451
47720,338165N1163457W001,208,304
48155,338167N1170299W001,275,316
48155,338167N1170299W001,530,550
48145,338178N1169852W001,260,500
