STN_ID,SITE_CODE,SWN,WELL_NAME,LATITUDE,LONGITUDE,COUNTY_NAME,tract,ZIP
4781,384260N1212853W001,07N06E26Q001M,NA,38.426,-121.285,Sacramento,6067009325,95624
27204,384272N1214018W001,07N05E26P002M,SCGA #2,38.4272,-121.402,Sacramento,6067009639,95758
55002,384275N1213980W001,NA,W-074,38.4275,-121.398,Sacramento,6067009639,95758
6720,384325N1214427W001,07N05E28E001M,NA,38.4325,-121.443,Sacramento,6067009615,95758
55001,384332N1214615W001,NA,W-070,38.4332,-121.462,Sacramento,6067009618,95758
27853,384341N1212687W001,07N06E25B001M,NA,38.4341,-121.269,Sacramento,6067009325,95624
27205,384343N1214615W001,07N05E29D001M,SCGA #3,38.4343,-121.462,Sacramento,6067009618,95758
4797,384354N1211927W001,07N07E27B001M,NA,38.4354,-121.193,Sacramento,6067009404,95693
4799,384358N1212277W001,07N07E29A001M,NA,38.4358,-121.228,Sacramento,6067009404,95693
6719,384374N1214022W001,07N05E26C001M,NA,38.4374,-121.402,Sacramento,6067009639,95758
55012,384383N1213873W001,NA,W-065,38.4383,-121.387,Sacramento,6067009322,95624
27852,384403N1212921W001,07N06E23P001M,NA,38.4403,-121.292,Sacramento,6067009324,95624
40043,384403N1212921W002,07N06E23P002M,NA,38.4403,-121.292,Sacramento,6067009324,95624
27851,384417N1213354W001,07N06E20J001M,SCGA #8,38.4417,-121.335,Sacramento,6067009332,95624
4780,384425N1213031W001,07N06E22R002M,SCGA #9,38.4425,-121.303,Sacramento,6067009324,95624
6718,384453N1213728W001,07N05E24H001M,NA,38.4453,-121.373,Sacramento,6067009322,95624
6717,384453N1214628W001,07N05E20E001M,NA,38.4453,-121.463,Sacramento,6067009618,95758
55015,384455N1213533W001,NA,W-069,38.4455,-121.353,Sacramento,6067009332,95624
27203,384458N1214600W001,07N05E20E002M,NA,38.4458,-121.46,Sacramento,6067009618,95758
4796,384461N1211632W001,07N07E24F001M,NA,38.4461,-121.163,Sacramento,6067008600,95683
4795,384462N1212038W001,07N07E22E001M,NA,38.4462,-121.204,Sacramento,6067009404,95693
27862,384468N1212226W001,07N07E21E001M,07N07E21E001M,38.4468,-121.223,Sacramento,6067009325,95624
4794,384511N1212360W001,07N07E20C001M,07N07E20C001M,38.4511,-121.236,Sacramento,6067009325,95624
4779,384525N1213093W001,07N06E22C002M,NA,38.4525,-121.309,Sacramento,6067009324,95624
4793,384526N1211695W001,07N07E14R001M,07N07E14R001M,38.4526,-121.169,Sacramento,6067008600,95683
4792,384527N1211747W001,07N07E14Q001M,NA,38.4527,-121.175,Sacramento,6067008600,95683
4778,384532N1212856W001,07N06E14Q001M,SCGA #7,38.4532,-121.286,Sacramento,6067009326,95830
55013,384563N1213533W001,NA,W-067,38.4563,-121.353,Sacramento,6067009329,95829
5486,384600N1211432W001,07N08E18F001M,07N08E18F001M,38.46,-121.143,Sacramento,6067008600,95683
55014,384600N1213625W001,NA,W-068,38.46,-121.363,Sacramento,6067009312,95829
6169,384600N1214102W001,07N05E15H001M,NA,38.46,-121.41,Sacramento,6067009320,95828
55011,384601N1213562W001,NA,W-064,38.4601,-121.356,Sacramento,6067009312,95829
5485,384613N1211126W001,07N08E16E001M,NA,38.4613,-121.113,Sacramento,6067008600,95683
27861,384619N1212318W001,07N07E17G002M,07N07E17G002M,38.4619,-121.232,Sacramento,6067008600,95683
29337,384636N1210433W001,07N08E13A001M,NA,38.4636,-121.043,Sacramento,6067008600,95683
55010,384657N1213700W001,NA,W-061,38.4657,-121.37,Sacramento,6067009311,95829
27202,384664N1214774W001,07N05E18C001M,SCGA #1,38.4664,-121.477,Sacramento,6067009601,95832
4790,384690N1212601W001,07N07E07N001M,NA,38.469,-121.26,Sacramento,6067009326,95830
4790,384690N1212601W001,07N07E07N001M,NA,38.469,-121.26,Sacramento,6067009325,95624
27859,384705N1212594W001,07N07E07N002M,NA,38.4705,-121.259,Sacramento,6067009326,95830
